"description","regex"
"Identify a string where the substring 'total' is immediately followed by a two-digit id.","^.*total\d{2}.*$"
"Match a string of exactly twelve alphanumeric characters.","^[A-Za-z0-9]{12}$"
"Identify a string of four uppercase letters and three digits separated by a colon.","^[A-Z]{4}:[0-9]{3}$"
"Search for the run of digits that comes right before the unit 'mb' (megabytes), using a positive lookahead.","\d+(?=mb)"
"Match a string where the word 'minute' is followed by one or more digits.","^.*minute\d+.*$"
"Search for a string of exactly five lowercase letters.","^[a-z]{5}$"
"Check if the input is a string of at least eight word characters.","^\w{8,}$"
"Validate a string where one or more digits come immediately before the word 'email'.","^.*\d+email.*$"
"Detect a string of four uppercase letters and three digits separated by a hyphen.","^[A-Z]{4}-[0-9]{3}$"
"Check if the input is a string containing the standalone whole word 'report'.","^.*\breport\b.*$"
"Search for a string containing the same digit repeated five times in a row.","^.*(\d)\1{4}.*$"
"Validate a string where the substring 'config' is immediately followed by a two-digit id.","^.*config\d{2}.*$"
"Identify a string that starts with the word 'token'.","^token.*$"
"Test whether the input is a string where the substring 'ticket' is immediately followed by a three-digit id.","^.*ticket\d{3}.*$"
"Extract a string of two letters and four digits separated by a colon.","^[A-Za-z]{2}:[0-9]{4}$"
"Extract a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Search for a string where one or more digits come immediately before the word 'config'.","^.*\d+config.*$"
"Check if the input is a string that starts with the word 'city'.","^city.*$"
"Capture a string where the substring 'profile' is immediately followed by a four-digit id.","^.*profile\d{4}.*$"
"Capture a string of at least five alphanumeric characters.","^[A-Za-z0-9]{5,}$"
"Detect a string containing the substring 'month'.","^.*month.*$"
"Test whether the input is a string where the substring 'config' is immediately followed by a four-digit id.","^.*config\d{4}.*$"
"Check if the input is a string of exactly eight word characters.","^\w{8}$"
"Extract a string of two uppercase letters and four digits separated by a colon.","^[A-Z]{2}:[0-9]{4}$"
"Validate a string containing the substring 'job'.","^.*job.*$"
"Detect a string of one or more special characters.","^[!@#$%^&*]+$"
"Match a string made of one uppercase letter followed by four digits.","^[A-Z]{1}[0-9]{4}$"
"Search for a string of word characters that does not start with the word 'Config', using a negative lookahead.","^(?!Config)\w+$"
"Check if the input is a string where the substring 'address' is immediately followed by a five-digit id.","^.*address\d{5}.*$"
"Identify a string where the substring 'token' is immediately followed by a four-digit id.","^.*token\d{4}.*$"
"Test whether the input is a string of exactly twelve uppercase letters.","^[A-Z]{12}$"
"Find a string that is exactly the word 'invoice'.","^invoice$"
"Extract a string of two letters and four digits separated by a slash.","^[A-Za-z]{2}/[0-9]{4}$"
"Capture a string containing the standalone whole word 'gamma'.","^.*\bgamma\b.*$"
"Identify a string that is exactly the word 'config'.","^config$"
"Match a string where the substring 'amount' is immediately followed by a six-digit id.","^.*amount\d{6}.*$"
"Extract a string where the word 'total' is followed by one or more digits.","^.*total\d+.*$"
"Find a string containing the substring 'status'.","^.*status.*$"
"Match a string containing the standalone whole word 'alpha'.","^.*\balpha\b.*$"
"Identify a string where the word 'login' is followed by one or more digits.","^.*login\d+.*$"
"Identify a string where the substring 'edge' is immediately followed by a six-digit id.","^.*edge\d{6}.*$"
"Capture a string containing the same character repeated three times in a row.","^.*(\w)\1{2}.*$"
"a date in DD-MM-YYYY format","^(0[1-9]|[12]\d|3[01])-(0[1-9]|1[0-2])-\d{4}$"
"Validate a string of two letters and three digits separated by a underscore.","^[A-Za-z]{2}_[0-9]{3}$"
"Search for a string of at least five alphanumeric characters.","^[A-Za-z0-9]{5,}$"
"Test whether the input is a string where the substring 'token' is immediately followed by a three-digit id.","^.*token\d{3}.*$"
"Test whether the input is a string of exactly four alphanumeric characters.","^[A-Za-z0-9]{4}$"
"Check if the input is a string of four letters and two digits separated by a colon.","^[A-Za-z]{4}:[0-9]{2}$"
"Test whether the input is a string of three uppercase letters and four digits separated by a dot.","^[A-Z]{3}\.[0-9]{4}$"
"Capture a string that ends with the word 'date'.","^.*date$"
"Test whether the input is a string of exactly three special characters.","^[!@#$%^&*]{3}$"
"Test whether the input is a string where one or more digits come immediately before the word 'phone'.","^.*\d+phone.*$"
"Extract a string where the substring 'batch' is immediately followed by a five-digit id.","^.*batch\d{5}.*$"
"Capture a string containing the standalone whole word 'date'.","^.*\bdate\b.*$"
"Find a string of three uppercase letters and three digits separated by a dot.","^[A-Z]{3}\.[0-9]{3}$"
"Identify a string of exactly six letters.","^[A-Za-z]{6}$"
"Match a string of three uppercase letters and three digits separated by a dot.","^[A-Z]{3}\.[0-9]{3}$"
"Validate a string of exactly five whitespace characters.","^\s{5}$"
"Extract a string containing the standalone whole word 'temp'.","^.*\btemp\b.*$"
"Check if the input is a string where one or more digits come immediately before the word 'order'.","^.*\d+order.*$"
"Extract a string that ends with the word 'config'.","^.*config$"
"Find a string made of three uppercase letters followed by four lowercase letters.","^[A-Z]{3}[a-z]{4}$"
"Validate a string that starts with the word 'token'.","^token.*$"
"Test whether the input is a string where the substring 'user' is immediately followed by a six-digit id.","^.*user\d{6}.*$"
"Identify a string that starts with the word 'cache'.","^cache.*$"
"Detect a password of at least eight characters with at least one digit, one special character and one letter, using lookaheads.","^(?=.*[0-9])(?=.*[!@#$%^&*])(?=.*[a-zA-Z]).{8,}$"
"Test whether the input is a string where the substring 'code' is immediately followed by a four-digit id.","^.*code\d{4}.*$"
"Find a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Extract a string where the substring 'email' is immediately followed by a four-digit id.","^.*email\d{4}.*$"
"Capture a string that ends with the word 'country'.","^.*country$"
"Find a string where the word 'amount' is followed by one or more digits.","^.*amount\d+.*$"
"Detect a string where the substring 'price' is immediately followed by a three-digit id.","^.*price\d{3}.*$"
"Test whether the input is a string where the word 'task' is followed by one or more digits.","^.*task\d+.*$"
"Extract a string made of three uppercase letters followed by three lowercase letters.","^[A-Z]{3}[a-z]{3}$"
"Identify a string containing the substring 'minute'.","^.*minute.*$"
"Identify the run of digits that appears right after a dollar sign, using a positive lookbehind.","(?<=\$)\d+"
"Search for a string containing the standalone whole word 'task'.","^.*\btask\b.*$"
"Identify a string of exactly six hexadecimal digits.","^[0-9A-Fa-f]{6}$"
"Search for a string containing the same character repeated two times in a row.","^.*(\w)\1{1}.*$"
"Match a string of at least one lowercase letter.","^[a-z]{1,}$"
"Identify a string where the substring 'item' is immediately followed by a six-digit id.","^.*item\d{6}.*$"
"Find a string that is exactly the word 'test'.","^test$"
"Validate a string of two lowercase letters and two digits separated by a slash.","^[a-z]{2}/[0-9]{2}$"
"Find a string made of four lowercase letters followed by two digits.","^[a-z]{4}[0-9]{2}$"
"Search for a string made of two lowercase letters followed by one digit.","^[a-z]{2}[0-9]{1}$"
"Detect a string of two lowercase letters and two digits separated by a hyphen.","^[a-z]{2}-[0-9]{2}$"
"Search for a string where the substring 'data' is immediately followed by a four-digit id.","^.*data\d{4}.*$"
"Search for a string of at least three lowercase letters.","^[a-z]{3,}$"
"Match a string that starts with the word 'item'.","^item.*$"
"Find a string where one or more digits come immediately before the word 'state'.","^.*\d+state.*$"
"Detect a string that ends with the word 'edge'.","^.*edge$"
"Find a string where one or more digits come immediately before the word 'country'.","^.*\d+country.*$"
"Extract a string of at least three hexadecimal digits.","^[0-9A-Fa-f]{3,}$"
"Check if the input is a string of word characters that does not start with the word 'Account', using a negative lookahead.","^(?!Account)\w+$"
"Validate a string that starts with the word 'price'.","^price.*$"
"Identify a string that is exactly the word 'queue'.","^queue$"
"Validate a string that ends with the word 'status'.","^.*status$"
"Detect a string of at least five whitespace characters.","^\s{5,}$"
"Capture a string of word characters that does not start with the word 'Session', using a negative lookahead.","^(?!Session)\w+$"
"Capture a string containing the substring 'code'.","^.*code.*$"
"Test whether the input is a string made of one lowercase letter followed by two digits.","^[a-z]{1}[0-9]{2}$"
"Capture a string where the substring 'report' is immediately followed by a three-digit id.","^.*report\d{3}.*$"
"Capture the run of digits that appears right after an equals sign, using a positive lookbehind.","(?<==)\d+"
"Search for a string where one or more digits come immediately before the word 'temp'.","^.*\d+temp.*$"
"Search for a string where the substring 'country' is immediately followed by a five-digit id.","^.*country\d{5}.*$"
"Test whether the input is a string of exactly ten alphanumeric characters.","^[A-Za-z0-9]{10}$"
"Validate a string where the substring 'edge' is immediately followed by a four-digit id.","^.*edge\d{4}.*$"
"Detect a string where the substring 'beta' is immediately followed by a five-digit id.","^.*beta\d{5}.*$"
"Capture a string made of two uppercase letters followed by two lowercase letters.","^[A-Z]{2}[a-z]{2}$"
"Capture a string where the substring 'edge' is immediately followed by a six-digit id.","^.*edge\d{6}.*$"
"Validate a run of digits that is not immediately preceded by a minus sign, using a negative lookbehind.","(?<!-)\d+"
"Search for a string where the substring 'date' is immediately followed by a three-digit id.","^.*date\d{3}.*$"
"Search for a string containing the substring 'date'.","^.*date.*$"
"Validate a string where the substring 'alpha' is immediately followed by a four-digit id.","^.*alpha\d{4}.*$"
"Extract a string made of three letters followed by three digits.","^[A-Za-z]{3}[0-9]{3}$"
"Find a string of at least eight whitespace characters.","^\s{8,}$"
"Extract a string of exactly two lowercase letters.","^[a-z]{2}$"
"Extract a string where the substring 'price' is immediately followed by a six-digit id.","^.*price\d{6}.*$"
"Capture a string that is exactly the word 'error'.","^error$"
"Test whether the input is a string of at least three word characters.","^\w{3,}$"
"Search for a string that starts with the word 'alpha'.","^alpha.*$"
"Test whether the input is a string made of one letter followed by one digit.","^[A-Za-z]{1}[0-9]{1}$"
"Validate a string where the word 'test' is followed by one or more digits.","^.*test\d+.*$"
"Detect a string that is exactly the word 'report'.","^report$"
"Identify a string that starts with the word 'order'.","^order.*$"
"Find a string of word characters that does not start with the word 'Data', using a negative lookahead.","^(?!Data)\w+$"
"Match a string containing the substring 'invoice'.","^.*invoice.*$"
"Match a string of two letters and two digits separated by a colon.","^[A-Za-z]{2}:[0-9]{2}$"
"Extract a string where the substring 'temp' is immediately followed by a six-digit id.","^.*temp\d{6}.*$"
"Detect a string that ends with the word 'country'.","^.*country$"
"Check if the input is a string of between two and four uppercase letters.","^[A-Z]{2,4}$"
"Search for a string of four uppercase letters and three digits separated by a hyphen.","^[A-Z]{4}-[0-9]{3}$"
"Identify a string of three letters and two digits separated by a slash.","^[A-Za-z]{3}/[0-9]{2}$"
"Check if the input is a string made of two lowercase letters followed by two digits.","^[a-z]{2}[0-9]{2}$"
"Detect a string of word characters that does not start with the word 'Temp', using a negative lookahead.","^(?!Temp)\w+$"
"Search for a string of two uppercase letters and two digits separated by a hyphen.","^[A-Z]{2}-[0-9]{2}$"
"Validate a string where the substring 'report' is immediately followed by a five-digit id.","^.*report\d{5}.*$"
"Find a string where the substring 'temp' is immediately followed by a six-digit id.","^.*temp\d{6}.*$"
"Check if the input is a string of word characters that does not start with the word 'Test', using a negative lookahead.","^(?!Test)\w+$"
"Check if the input is a string where the substring 'account' is immediately followed by a five-digit id.","^.*account\d{5}.*$"
"Extract a string that starts with the word 'stack'.","^stack.*$"
"Validate a string of four letters and three digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{3}$"
"Detect a string of between two and four hexadecimal digits.","^[0-9A-Fa-f]{2,4}$"
"Capture a string that is exactly the word 'country'.","^country$"
"Match a string made of four letters followed by two digits.","^[A-Za-z]{4}[0-9]{2}$"
"Identify a string where one or more digits come immediately before the word 'time'.","^.*\d+time.*$"
"Match a string where the substring 'graph' is immediately followed by a five-digit id.","^.*graph\d{5}.*$"
"Test whether the input is a string that is exactly the word 'token'.","^token$"
"Identify a string of three uppercase letters and four digits separated by a dot.","^[A-Z]{3}\.[0-9]{4}$"
"Capture a string of word characters that does not start with the word 'Error', using a negative lookahead.","^(?!Error)\w+$"
"Match a string where the substring 'config' is immediately followed by a five-digit id.","^.*config\d{5}.*$"
"Match a string where one or more digits come immediately before the word 'address'.","^.*\d+address.*$"
"Find a string where the substring 'flag' is immediately followed by a two-digit id.","^.*flag\d{2}.*$"
"Search for a string where the word 'account' is followed by one or more digits.","^.*account\d+.*$"
"Extract a string where the word 'invoice' is followed by one or more digits.","^.*invoice\d+.*$"
"Check if the input is a string that ends with the word 'minute'.","^.*minute$"
"Check if the input is a string of between four and eight hexadecimal digits.","^[0-9A-Fa-f]{4,8}$"
"Check if the input is a string of between two and six uppercase letters.","^[A-Z]{2,6}$"
"Find a string where the substring 'profile' is immediately followed by a four-digit id.","^.*profile\d{4}.*$"
"Capture a string containing the standalone whole word 'data'.","^.*\bdata\b.*$"
"Match a string of two lowercase letters and two digits separated by a dot.","^[a-z]{2}\.[0-9]{2}$"
"Validate a string of at least five alphanumeric characters.","^[A-Za-z0-9]{5,}$"
"Test whether the input is a string where the substring 'test' is immediately followed by a four-digit id.","^.*test\d{4}.*$"
"Match a string that starts with the word 'graph'.","^graph.*$"
"Extract a string of two lowercase letters and two digits separated by a underscore.","^[a-z]{2}_[0-9]{2}$"
"Capture the run of digits that appears right after a dollar sign, using a positive lookbehind.","(?<=\$)\d+"
"Check if the input is a string that is exactly the word 'minute'.","^minute$"
"Match a string where the substring 'temp' is immediately followed by a five-digit id.","^.*temp\d{5}.*$"
"Search for a string of between one and three letters.","^[A-Za-z]{1,3}$"
"Search for a string of word characters that does not start with the word 'Profile', using a negative lookahead.","^(?!Profile)\w+$"
"Test whether the input is a string where the substring 'flag' is immediately followed by a two-digit id.","^.*flag\d{2}.*$"
"Search for a string where the substring 'invoice' is immediately followed by a five-digit id.","^.*invoice\d{5}.*$"
"Identify a string that ends with the word 'month'.","^.*month$"
"Search for a string where one or more digits come immediately before the word 'total'.","^.*\d+total.*$"
"Test whether the input is a string of exactly seven word characters.","^\w{7}$"
"Search for a string where the substring 'flag' is immediately followed by a three-digit id.","^.*flag\d{3}.*$"
"Check if the input is a string made of one uppercase letter followed by three digits.","^[A-Z]{1}[0-9]{3}$"
"Extract a string where the substring 'data' is immediately followed by a four-digit id.","^.*data\d{4}.*$"
"Extract a string of between three and five alphanumeric characters.","^[A-Za-z0-9]{3,5}$"
"Identify a string of at least two lowercase letters.","^[a-z]{2,}$"
"Match a string of exactly four special characters.","^[!@#$%^&*]{4}$"
"Validate a string made of three uppercase letters followed by one lowercase letter.","^[A-Z]{3}[a-z]{1}$"
"Match a string where the word 'year' is followed by one or more digits.","^.*year\d+.*$"
"Match a string where the substring 'invoice' is immediately followed by a three-digit id.","^.*invoice\d{3}.*$"
"Validate a string where the substring 'ticket' is immediately followed by a four-digit id.","^.*ticket\d{4}.*$"
"Match a string where the word 'item' is followed by one or more digits.","^.*item\d+.*$"
"Extract a string of at least three uppercase letters.","^[A-Z]{3,}$"
"Capture a string containing the substring 'test'.","^.*test.*$"
"Identify a string that is exactly the word 'amount'.","^amount$"
"Search for a string containing the standalone whole word 'stack'.","^.*\bstack\b.*$"
"Extract a string that starts with the word 'batch'.","^batch.*$"
"Test whether the input is a string of four letters and two digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{2}$"
"Identify a string where the substring 'admin' is immediately followed by a four-digit id.","^.*admin\d{4}.*$"
"Detect a string containing the standalone whole word 'time'.","^.*\btime\b.*$"
"Search for a string where one or more digits come immediately before the word 'state'.","^.*\d+state.*$"
"Search for a string where the substring 'total' is immediately followed by a four-digit id.","^.*total\d{4}.*$"
"Find a string where the word 'graph' is followed by one or more digits.","^.*graph\d+.*$"
"Detect a string of three letters and four digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{4}$"
"Extract a string of word characters that does not start with the word 'Report', using a negative lookahead.","^(?!Report)\w+$"
"Extract a string of three uppercase letters and two digits separated by a dot.","^[A-Z]{3}\.[0-9]{2}$"
"Extract a string where one or more digits come immediately before the word 'error'.","^.*\d+error.*$"
"Match a string of one or more digits.","^[0-9]+$"
"Extract a string of three uppercase letters and two digits separated by a colon.","^[A-Z]{3}:[0-9]{2}$"
"Extract a string of at least two uppercase letters.","^[A-Z]{2,}$"
"Find a string of two letters and two digits separated by a underscore.","^[A-Za-z]{2}_[0-9]{2}$"
"Identify a string where the word 'state' is followed by one or more digits.","^.*state\d+.*$"
"Capture a run of digits that is not immediately preceded by a minus sign, using a negative lookbehind.","(?<!-)\d+"
"Capture a string containing the substring 'error'.","^.*error.*$"
"Validate a string where the substring 'code' is immediately followed by a two-digit id.","^.*code\d{2}.*$"
"Extract a string made of two lowercase letters followed by two digits.","^[a-z]{2}[0-9]{2}$"
"Identify a string of exactly six alphanumeric characters.","^[A-Za-z0-9]{6}$"
"Detect a string where the substring 'account' is immediately followed by a three-digit id.","^.*account\d{3}.*$"
"Test whether the input is a string of exactly three consonants.","^[bcdfghjklmnpqrstvwxyz]{3}$"
"Test whether the input is a string where the substring 'gamma' is immediately followed by a four-digit id.","^.*gamma\d{4}.*$"
"Extract a string of exactly four hexadecimal digits.","^[0-9A-Fa-f]{4}$"
"Capture a string containing the standalone whole word 'job'.","^.*\bjob\b.*$"
"Capture a string of between two and six uppercase letters.","^[A-Z]{2,6}$"
"Capture a string that starts with the word 'date'.","^date.*$"
"Test whether the input is a string containing the standalone whole word 'gamma'.","^.*\bgamma\b.*$"
"Check if the input is a string of two uppercase letters and four digits separated by a underscore.","^[A-Z]{2}_[0-9]{4}$"
"Test whether the input is a string that is exactly the word 'price'.","^price$"
"Capture a string where the substring 'amount' is immediately followed by a six-digit id.","^.*amount\d{6}.*$"
"Extract a string where one or more digits come immediately before the word 'edge'.","^.*\d+edge.*$"
"Test whether the input is a string that starts with the word 'test'.","^test.*$"
"Capture a string of between two and six hexadecimal digits.","^[0-9A-Fa-f]{2,6}$"
"Capture a string where one or more digits come immediately before the word 'token'.","^.*\d+token.*$"
"Capture a string of two lowercase letters and three digits separated by a hyphen.","^[a-z]{2}-[0-9]{3}$"
"Find a string where the word 'total' is followed by one or more digits.","^.*total\d+.*$"
"Extract a string where the substring 'report' is immediately followed by a two-digit id.","^.*report\d{2}.*$"
"Search for a string where the substring 'flag' is immediately followed by a four-digit id.","^.*flag\d{4}.*$"
"Capture a string where the word 'login' is followed by one or more digits.","^.*login\d+.*$"
"Search for a string of at least five whitespace characters.","^\s{5,}$"
"Identify a string of word characters that does not start with the word 'Session', using a negative lookahead.","^(?!Session)\w+$"
"Identify a string containing the substring 'error'.","^.*error.*$"
"Search for a string of two letters and four digits separated by a colon.","^[A-Za-z]{2}:[0-9]{4}$"
"Find a string where the substring 'profile' is immediately followed by a three-digit id.","^.*profile\d{3}.*$"
"Detect a string containing the substring 'config'.","^.*config.*$"
"Check if the input is a string of word characters that does not start with the word 'Cache', using a negative lookahead.","^(?!Cache)\w+$"
"Capture a string where one or more digits come immediately before the word 'account'.","^.*\d+account.*$"
"Match a string of four lowercase letters and two digits separated by a colon.","^[a-z]{4}:[0-9]{2}$"
"Capture a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Detect a string where the substring 'year' is immediately followed by a six-digit id.","^.*year\d{6}.*$"
"Test whether the input is a string containing the standalone whole word 'config'.","^.*\bconfig\b.*$"
"Search for a string of exactly two special characters.","^[!@#$%^&*]{2}$"
"Validate a string where the substring 'gamma' is immediately followed by a four-digit id.","^.*gamma\d{4}.*$"
"Detect a string where one or more digits come immediately before the word 'task'.","^.*\d+task.*$"
"Validate a string where the substring 'code' is immediately followed by a four-digit id.","^.*code\d{4}.*$"
"Validate a string of one or more digits.","^[0-9]+$"
"Find a string where the substring 'stack' is immediately followed by a four-digit id.","^.*stack\d{4}.*$"
"Match a string where the word 'state' is followed by one or more digits.","^.*state\d+.*$"
"Search for a string made of three uppercase letters followed by one lowercase letter.","^[A-Z]{3}[a-z]{1}$"
"Extract a string where the substring 'address' is immediately followed by a four-digit id.","^.*address\d{4}.*$"
"Identify a string of three uppercase letters and three digits separated by a slash.","^[A-Z]{3}/[0-9]{3}$"
"Extract a string where the substring 'address' is immediately followed by a three-digit id.","^.*address\d{3}.*$"
"Find a string that is exactly the word 'minute'.","^minute$"
"Check if the input is a string made of four uppercase letters followed by four digits.","^[A-Z]{4}[0-9]{4}$"
"Find a string of exactly ten uppercase letters.","^[A-Z]{10}$"
"Search for a string that ends with the word 'error'.","^.*error$"
"Identify a string where one or more digits come immediately before the word 'error'.","^.*\d+error.*$"
"Validate a string of three lowercase letters and two digits separated by a colon.","^[a-z]{3}:[0-9]{2}$"
"Match a string of exactly six whitespace characters.","^\s{6}$"
"Check if the input is a string of zero or more word characters.","^\w*$"
"Test whether the input is a string that ends with the word 'status'.","^.*status$"
"Search for a string of four lowercase letters and two digits separated by a underscore.","^[a-z]{4}_[0-9]{2}$"
"Find a string of exactly one alphanumeric character.","^[A-Za-z0-9]{1}$"
"Capture a string where the substring 'level' is immediately followed by a four-digit id.","^.*level\d{4}.*$"
"Match a string of exactly one word character.","^\w{1}$"
"Find a string containing the substring 'hour'.","^.*hour.*$"
"Search for a string of between one and three hexadecimal digits.","^[0-9A-Fa-f]{1,3}$"
"Extract a string where the word 'status' is followed by one or more digits.","^.*status\d+.*$"
"Check if the input is a string containing the same letter repeated four times in a row.","^.*([A-Za-z])\1{3}.*$"
"Test whether the input is a string of exactly two word characters.","^\w{2}$"
"Find a string of at least three word characters.","^\w{3,}$"
"Match a string where the substring 'code' is immediately followed by a three-digit id.","^.*code\d{3}.*$"
"Validate a string containing the substring 'total'.","^.*total.*$"
"Capture a string of exactly five digits.","^[0-9]{5}$"
"Identify a string containing the substring 'cache'.","^.*cache.*$"
"Test whether the input is a string where one or more digits come immediately before the word 'data'.","^.*\d+data.*$"
"Extract a string of two uppercase letters and two digits separated by a underscore.","^[A-Z]{2}_[0-9]{2}$"
"Validate a string of exactly ten lowercase letters.","^[a-z]{10}$"
"Detect a string of three lowercase letters and three digits separated by a slash.","^[a-z]{3}/[0-9]{3}$"
"Extract a string of between five and ten letters.","^[A-Za-z]{5,10}$"
"Identify a string where the substring 'date' is immediately followed by a three-digit id.","^.*date\d{3}.*$"
"Test whether the input is a string that ends with the word 'token'.","^.*token$"
"Identify a string of between three and five letters.","^[A-Za-z]{3,5}$"
"Match a string that starts with the word 'profile'.","^profile.*$"
"Find a string that ends with the word 'hour'.","^.*hour$"
"Extract a string of four uppercase letters and three digits separated by a hyphen.","^[A-Z]{4}-[0-9]{3}$"
"Validate a string that starts with the word 'queue'.","^queue.*$"
"Detect a string of exactly ten digits.","^[0-9]{10}$"
"Find a string of two letters and two digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{2}$"
"Test whether the input is a string where the substring 'day' is immediately followed by a two-digit id.","^.*day\d{2}.*$"
"Find a string where the substring 'alpha' is immediately followed by a two-digit id.","^.*alpha\d{2}.*$"
"Validate a string where the substring 'data' is immediately followed by a two-digit id.","^.*data\d{2}.*$"
"Detect a string made of two uppercase letters followed by four digits.","^[A-Z]{2}[0-9]{4}$"
"Check if the input is a string made of four lowercase letters followed by three digits.","^[a-z]{4}[0-9]{3}$"
"Test whether the input is a string of exactly four uppercase letters.","^[A-Z]{4}$"
